Localization,Disease,Pace,Pattern,Etiology,Prompt
Cervical roots,Epidural metastasis causing foraminal compression,subacute,progressive,Neoplastic,"56-year-old with days to weeks of neck pain radiating to arm with dermatomal numbness and reduced reflex in the distribution, with progressive course and morning-predominant headaches over weeks."
Cervical roots,Rheumatoid pannus causing C1–C2 root irritation,chronic,progressive,Inflammatory/Autoimmune,"32-year-old with months to years of neck pain radiating to arm with dermatomal numbness and reduced reflex in the distribution, following a recent infection or with fluctuating course and mild fevers."
Cervical roots,Cervical epidural hematoma with acute radiculopathy,acute,monophasic,Vascular,"68-year-old with sudden, hours-old neck pain radiating to arm with dermatomal numbness and reduced reflex in the distribution, after abrupt onset during routine activity; BP elevated on arrival."
Thoracic roots,Spinal meningioma producing thoracic radicular pain,subacute,progressive,Neoplastic,"56-year-old with days to weeks of band-like chest/abdominal pain and sensory change following a dermatomal stripe, with progressive course and morning-predominant headaches over weeks."
Thoracic roots,Spinal dural arteriovenous fistula with myeloradiculopathy,subacute,progressive,Vascular,"68-year-old with days to weeks of band-like chest/abdominal pain and sensory change following a dermatomal stripe, after abrupt onset during routine activity; BP elevated on arrival."
Thoracic roots,Tuberculous radiculitis (thoracic),subacute,progressive,Infectious,"45-year-old with days to weeks of band-like chest/abdominal pain and sensory change following a dermatomal stripe, with low-grade fevers or recent infection; inflammatory markers mildly elevated."
Thoracic roots,Thoracic epidural hematoma after procedure,acute,monophasic,Vascular,"68-year-old with sudden, hours-old band-like chest/abdominal pain and sensory change following a dermatomal stripe, after abrupt onset during routine activity; BP elevated on arrival."
Thoracic roots,Sarcoid‑related thoracic radiculopathy,subacute,relapsing,Inflammatory/Autoimmune,"32-year-old with days to weeks of band-like chest/abdominal pain and sensory change following a dermatomal stripe, following a recent infection or with fluctuating course and mild fevers."
Lumbar roots,Epidural hematoma compressing cauda equina roots,acute,monophasic,Vascular,"68-year-old with sudden, hours-old low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, after abrupt onset during routine activity; BP elevated on arrival."
Lumbar roots,Postoperative adhesive arachnoiditis,subacute,progressive,Inflammatory/Autoimmune,"32-year-old with days to weeks of low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, following a recent infection or with fluctuating course and mild fevers."
Lumbar roots,Nerve root schwannoma (lumbar),subacute,progressive,Neoplastic,"56-year-old with days to weeks of low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, with progressive course and morning-predominant headaches over weeks."
Lumbar roots,Lyme radiculopathy (lumbosacral),subacute,progressive,Infectious,"45-year-old with days to weeks of low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, with low-grade fevers or recent infection; inflammatory markers mildly elevated."
Lumbar roots,Severe lumbar spinal stenosis with neurogenic claudication,chronic,progressive,Degenerative,"62-year-old with months to years of low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, with insidious decline affecting function at home and work."
Dorsal root ganglia,Paraneoplastic sensory neuronopathy (anti‑Hu),subacute,progressive,Neoplastic,"56-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, with progressive course and morning-predominant headaches over weeks."
Dorsal root ganglia,Immune checkpoint inhibitor–associated neuronopathy,subacute,progressive,Inflammatory/Autoimmune,"32-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, following a recent infection or with fluctuating course and mild fevers."
Dorsal root ganglia,Taxane‑induced sensory neuronopathy,subacute,progressive,Toxic,"54-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, with a relevant exposure history and symmetric findings."
Dorsal root ganglia,Pyridoxine (vitamin B6) excess sensory neuronopathy,subacute,progressive,Toxic,"54-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, with a relevant exposure history and symmetric findings."
Dorsal root ganglia,Celiac‑associated sensory neuronopathy,subacute,relapsing,Inflammatory/Autoimmune,"32-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, following a recent infection or with fluctuating course and mild fevers."
Brachial plexus,Neurogenic thoracic outlet syndrome,chronic,progressive,Degenerative,"62-year-old with months to years of shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, with insidious decline affecting function at home and work."
Brachial plexus,Metastatic apical lung tumor infiltrating plexus,subacute,progressive,Neoplastic,"56-year-old with days to weeks of shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, with progressive course and morning-predominant headaches over weeks."
Brachial plexus,Iatrogenic plexus injury after median sternotomy positioning,acute,monophasic,Toxic,"54-year-old with sudden, hours-old shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, with a relevant exposure history and symmetric findings."
Brachial plexus,Post‑infectious brachial plexopathy (immune‑mediated),subacute,monophasic,Inflammatory/Autoimmune,"32-year-old with days to weeks of shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, following a recent infection or with fluctuating course and mild fevers."
Brachial plexus,Radiation‑recall brachial plexopathy,subacute,progressive,Toxic,"54-year-old with days to weeks of shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, with a relevant exposure history and symmetric findings."
Lumbosacral plexus,Pelvic malignancy invading plexus,subacute,progressive,Neoplastic,"56-year-old with days to weeks of thigh/hip pain followed by proximal leg weakness and weight loss, with progressive course and morning-predominant headaches over weeks."
Lumbosacral plexus,Post‑radiation lumbosacral plexopathy,chronic,progressive,Toxic,"54-year-old with months to years of thigh/hip pain followed by proximal leg weakness and weight loss, with a relevant exposure history and symmetric findings."
Lumbosacral plexus,Iliopsoas abscess compressing plexus,subacute,progressive,Infectious,"45-year-old with days to weeks of thigh/hip pain followed by proximal leg weakness and weight loss, with low-grade fevers or recent infection; inflammatory markers mildly elevated."
Lumbosacral plexus,Obstetric lumbosacral plexopathy,acute,monophasic,Degenerative,"62-year-old with sudden, hours-old thigh/hip pain followed by proximal leg weakness and weight loss, with insidious decline affecting function at home and work."
Lumbosacral plexus,Aortic/iliac aneurysm compressing plexus,subacute,progressive,Vascular,"68-year-old with days to weeks of thigh/hip pain followed by proximal leg weakness and weight loss, after abrupt onset during routine activity; BP elevated on arrival."
Axon,Vasculitic neuropathy (mononeuritis multiplex),subacute,stepwise,Inflammatory/Autoimmune,"32-year-old with days to weeks of length-dependent numbness and burning pain in the feet ascending over time, following a recent infection or with fluctuating course and mild fevers."
Axon,AL amyloidosis peripheral neuropathy,chronic,progressive,Metabolic,"58-year-old with months to years of length-dependent numbness and burning pain in the feet ascending over time, with nutritional/endocrine risk factors and subacute progression."
Axon,HIV distal symmetric polyneuropathy,chronic,progressive,Infectious,"45-year-old with months to years of length-dependent numbness and burning pain in the feet ascending over time, with low-grade fevers or recent infection; inflammatory markers mildly elevated."
Axon,Critical illness polyneuropathy,subacute,progressive,Toxic,"54-year-old with days to weeks of length-dependent numbness and burning pain in the feet ascending over time, with a relevant exposure history and symmetric findings."
Axon,Hereditary axonal neuropathy (CMT2),chronic,progressive,Degenerative,"62-year-old with months to years of length-dependent numbness and burning pain in the feet ascending over time, with insidious decline affecting function at home and work."
Myelin,Multifocal motor neuropathy with conduction block,chronic,relapsing,Inflammatory/Autoimmune,"32-year-old with months to years of areflexic weakness with sensory symptoms and conduction slowing on NCS, following a recent infection or with fluctuating course and mild fevers."
Myelin,IgM anti‑MAG demyelinating neuropathy,chronic,progressive,Degenerative,"62-year-old with months to years of areflexic weakness with sensory symptoms and conduction slowing on NCS, with insidious decline affecting function at home and work."
Myelin,HNPP (hereditary neuropathy with liability to pressure palsies),chronic,relapsing,Degenerative,"62-year-old with months to years of areflexic weakness with sensory symptoms and conduction slowing on NCS, with insidious decline affecting function at home and work."
Myelin,Diphtheritic polyneuropathy,subacute,progressive,Infectious,"45-year-old with days to weeks of areflexic weakness with sensory symptoms and conduction slowing on NCS, with low-grade fevers or recent infection; inflammatory markers mildly elevated."
Myelin,POEMS‑associated demyelinating neuropathy,chronic,progressive,Neoplastic,"56-year-old with months to years of areflexic weakness with sensory symptoms and conduction slowing on NCS, with progressive course and morning-predominant headaches over weeks."
NMJ Pre‑synaptic,Congenital presynaptic CMS (choline acetyltransferase deficiency),chronic,progressive,Degenerative,"62-year-old with months to years of fluctuating proximal weakness that improves transiently with brief exercise, with insidious decline affecting function at home and work."
NMJ Pre‑synaptic,Hypermagnesemia‑related presynaptic blockade,acute,monophasic,Toxic,"54-year-old with sudden, hours-old fluctuating proximal weakness that improves transiently with brief exercise, with a relevant exposure history and symmetric findings."
NMJ Pre‑synaptic,Tick paralysis,subacute,progressive,Infectious,"45-year-old with days to weeks of fluctuating proximal weakness that improves transiently with brief exercise, with low-grade fevers or recent infection; inflammatory markers mildly elevated."
NMJ Pre‑synaptic,β‑bungarotoxin snake envenomation (presynaptic),hyperacute,monophasic,Toxic,"54-year-old with sudden, minutes-old fluctuating proximal weakness that improves transiently with brief exercise, with a relevant exposure history and symmetric findings."
NMJ Pre‑synaptic,Black widow envenomation with neuromuscular weakness,acute,monophasic,Toxic,"54-year-old with sudden, hours-old fluctuating proximal weakness that improves transiently with brief exercise, with a relevant exposure history and symmetric findings."
NMJ Post‑synaptic,MuSK‑positive myasthenia gravis,subacute,relapsing,Inflammatory/Autoimmune,"32-year-old with days to weeks of fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, following a recent infection or with fluctuating course and mild fevers."
NMJ Post‑synaptic,Curare‑type non‑depolarizing neuromuscular blockade,hyperacute,monophasic,Toxic,"54-year-old with sudden, minutes-old fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, with a relevant exposure history and symmetric findings."
NMJ Post‑synaptic,Succinylcholine‑induced prolonged depolarizing block,acute,monophasic,Toxic,"54-year-old with sudden, hours-old fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, with a relevant exposure history and symmetric findings."
NMJ Post‑synaptic,Congenital postsynaptic CMS (AChR deficiency),chronic,progressive,Degenerative,"62-year-old with months to years of fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, with insidious decline affecting function at home and work."
NMJ Post‑synaptic,Snake α‑neurotoxin (cobra) postsynaptic blockade,hyperacute,monophasic,Toxic,"54-year-old with sudden, minutes-old fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, with a relevant exposure history and symmetric findings."
Proximal muscle,Statin‑associated myopathy,subacute,progressive,Toxic,"54-year-old with days to weeks of difficulty climbing stairs and rising from a chair with preserved distal strength, with a relevant exposure history and symmetric findings."
Proximal muscle,Immune‑mediated necrotizing myopathy (anti‑HMGCR),subacute,progressive,Inflammatory/Autoimmune,"32-year-old with days to weeks of difficulty climbing stairs and rising from a chair with preserved distal strength, following a recent infection or with fluctuating course and mild fevers."
Proximal muscle,Hypothyroid myopathy,chronic,progressive,Metabolic,"58-year-old with months to years of difficulty climbing stairs and rising from a chair with preserved distal strength, with nutritional/endocrine risk factors and subacute progression."
Proximal muscle,Glucocorticoid‑induced myopathy,subacute,progressive,Toxic,"54-year-old with days to weeks of difficulty climbing stairs and rising from a chair with preserved distal strength, with a relevant exposure history and symmetric findings."
Proximal muscle,Mitochondrial myopathy with exercise intolerance,chronic,progressive,Metabolic,"58-year-old with months to years of difficulty climbing stairs and rising from a chair with preserved distal strength, with nutritional/endocrine risk factors and subacute progression."
Distal muscle,Miyoshi distal myopathy (dysferlinopathy),chronic,progressive,Degenerative,"62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
Distal muscle,GNE myopathy (Nonaka),chronic,progressive,Degenerative,"62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
Distal muscle,Laing distal myopathy (MYH7),chronic,progressive,Degenerative,"62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
Distal muscle,Desmin‑related myofibrillar myopathy,chronic,progressive,Degenerative,"62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
Distal muscle,Udd tibial muscular dystrophy,chronic,progressive,Degenerative,"62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
